                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5876,                 4.4131,                 4.1887,                0.00265,                0.50599,                0.00462,                0.00175,                 2.4087,                 3.9352,                 4.1759,             0.00065079,             0.00065079,             0.00065079
                      2,                 2.3054,                 3.7315,                 3.3998,                0.00304,                0.18642,                0.00435,                0.00133,                 2.5462,                 4.0969,                 4.4752,               0.001187,               0.001187,               0.001187
                      3,                 2.0376,                 2.9458,                 2.7096,                0.00523,                0.29694,                 0.0064,                0.00162,                 2.4995,                 4.3549,                 4.3518,              0.0015913,              0.0015913,              0.0015913
                      4,                 1.7218,                 2.1759,                 2.3333,                0.71649,                0.36218,                0.47918,                0.23891,                 1.7864,                 2.7721,                 2.6063,               0.001406,               0.001406,               0.001406
                      5,                 1.3458,                  1.534,                 1.9387,                0.93506,                0.81758,                0.91507,                0.72886,                  1.128,                 1.2337,                 1.8182,               0.001208,               0.001208,               0.001208
                      6,                 1.0916,                 1.2012,                 1.6882,                0.93773,                0.81491,                0.93237,                0.75698,                0.98692,                 1.1706,                 1.6393,                0.00101,                0.00101,                0.00101
                      7,                 0.9409,                 1.0271,                 1.5169,                0.94992,                0.90146,                0.96638,                0.81063,                0.87418,                0.97921,                 1.4936,               0.000812,               0.000812,               0.000812
                      8,                0.81087,                0.91594,                  1.384,                0.97952,                 0.8915,                0.97514,                0.83265,                0.82063,                0.85341,                 1.3779,               0.000614,               0.000614,               0.000614
                      9,                0.71661,                0.81453,                 1.2902,                0.98311,                0.93032,                 0.9809,                0.86279,                 0.7545,                0.79966,                 1.3449,               0.000416,               0.000416,               0.000416
                     10,                0.66209,                0.75322,                  1.252,                0.98604,                0.95473,                0.98543,                0.87689,                0.67471,                0.73605,                 1.2611,               0.000218,               0.000218,               0.000218
